NTACODE,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
MN0902,Manhattanville-West Harlem,6.978778273,High,17.49086914,High,Medium,High,Medium,High
MN0903,Hamilton Heights-Sugar Hill,7.133035242,High,16.97239618,High,High,High,Low,High
MN1001,Harlem (South),6.865424922,High,17.20618472,High,High,High,Low,Medium
MN1002,Harlem (North),6.954572131,High,16.24760988,High,High,High,Medium,High
MN1101,East Harlem (South),6.883719308,Medium,17.51924893,High,High,High,Medium,High
MN1102,East Harlem (North),6.962841878,High,16.31195972,High,High,High,Medium,High
MN1191,Randall's Island,7.038083506,Medium,17.71749246,Medium,Low,Low,High,High
MN1201,Washington Heights (South),6.856415845,High,17.96736903,High,High,High,Low,High
MN1202,Washington Heights (North),8.208336723,High,26.66500523,High,High,High,Medium,High
MN1203,Inwood,6.991940256,High,16.51446181,Medium,High,High,Medium,Medium
MN1291,Highbridge Park,6.869391031,High,16.2891369,High,Low,Low,Low,High
MN1292,Inwood Hill Park,6.873581242,Medium,14.79216519,Low,Low,Low,Low,Medium
MN6491,Central Park,7.79889007,Medium,24.89642067,High,Low,Low,Low,Low
QN0101,Astoria (North)-Ditmars-Steinway,7.264991212,Medium,21.38892624,Medium,High,Medium,High,Medium
QN0102,Old Astoria-Hallets Point,7.056513207,High,18.06261145,High,Low,High,High,Low
QN0103,Astoria (Central),7.440839196,High,18.24214637,High,High,High,Medium,Low
QN0104,Astoria (East)-Woodside (North),7.454712161,High,18.96128377,High,High,Medium,High,Medium
QN0105,Queensbridge-Ravenswood-Dutch Kills,7.221804543,High,18.50149143,High,High,High,High,Medium
QN0151,Rikers Island,6.428644736,Low,14.26298459,Low,Low,High,Low,Low
QN0161,Sunnyside Yards (North),7.394030162,High,17.98405486,High,Low,Medium,High,Medium
QN0171,St. Michael's Cemetery,7.314591947,High,21.28994742,High,Low,Low,High,Low
QN0191,Astoria Park,6.867407084,Medium,17.96583539,Medium,Low,Low,Low,High
QN0201,Long Island City-Hunters Point,7.138969103,High,17.46724849,High,High,High,High,High
QN0202,Sunnyside,7.649073153,High,18.758225,High,High,Medium,High,High
QN0203,Woodside,6.96863105,High,19.00176782,High,High,Medium,High,High
QN0261,Sunnyside Yards (South),7.588252076,High,19.93811177,High,Low,Low,High,Low
QN0271,Calvary & Mount Zion Cemeteries,7.977302781,High,24.16412105,High,Low,Low,High,High
