year,uhf_code,neighborhood,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,unstable_estimate
2013,104,Pelham - Throgs Neck,520.5,1093.0,False
2013,501,Port Richmond,327.4,173.0,False
2013,405,Ridgewood - Forest Hills,151.9,239.0,False
2013,410,Rockaways,200.2,186.0,False
2013,504,South Beach - Tottenville,63.7,64.0,False
2013,409,Southeast Queens,259.7,281.0,False
2013,407,Southwest Queens,281.5,492.0,False
2013,502,Stapleton - St. George,303.0,229.0,False
2013,205,Sunset Park,145.2,164.0,False
2013,309,Union Square - Lower East Side,299.9,243.0,False
2013,305,Upper East Side,62.4,76.0,False
2013,304,Upper West Side,141.7,178.0,False
2013,301,Washington Heights,378.2,581.0,False
2013,402,West Queens,161.3,561.0,False
2013,211,Williamsburg - Bushwick,575.1,976.0,False
2013,503,Willowbrook,112.1,53.0,False
2014,404,Bayside - Little Neck,40.0,18.0,False
2014,203,Bedford Stuyvesant - Crown Heights,506.8,1225.0,False
2014,209,Bensonhurst - Bay Ridge,61.9,88.0,False
2014,206,Borough Park,60.0,211.0,False
2014,208,Canarsie - Flatlands,253.3,322.0,False
2014,302,Central Harlem - Morningside Heights,644.2,671.0,False
2014,306,Chelsea - Clinton,118.9,63.0,False
2014,210,Coney Island - Sheepshead Bay,103.8,198.0,False
2014,105,Crotona - Tremont,785.4,1454.0,False
2014,202,Downtown - Heights - Slope,166.4,297.0,False
2014,207,East Flatbush - Flatbush,336.1,711.0,False
2014,303,East Harlem,720.3,544.0,False
2014,204,East New York,489.8,776.0,False
2014,403,Flushing - Clearview,114.5,164.0,False
2014,103,Fordham - Bronx Pk,735.5,1561.0,False
2014,406,Fresh Meadows,127.3,90.0,False
2014,307,Gramercy Park - Murray Hill,111.8,56.0,False
2014,201,Greenpoint,107.9,111.0,False
2014,308,Greenwich Village - SoHo,69.7,26.0,False
2014,106,High Bridge - Morrisania,877.6,1594.0,False
2014,107,Hunts Point - Mott Haven,842.2,1024.0,False
2014,408,Jamaica,397.7,762.0,False
2014,101,Kingsbridge - Riverdale,218.2,137.0,False
2014,401,Long Island City - Astoria,99.1,114.0,False
2014,310,Lower Manhattan,70.7,26.0,False
2014,102,Northeast Bronx,545.4,653.0,False
2014,104,Pelham - Throgs Neck,504.2,1070.0,False
2014,501,Port Richmond,259.8,137.0,False
2014,405,Ridgewood - Forest Hills,152.1,243.0,False
2014,410,Rockaways,183.6,174.0,False
2014,504,South Beach - Tottenville,66.0,66.0,False
2014,409,Southeast Queens,236.3,262.0,False
2014,407,Southwest Queens,267.4,477.0,False
2014,502,Stapleton - St. George,201.8,152.0,False
2014,205,Sunset Park,97.5,113.0,False
2014,309,Union Square - Lower East Side,320.7,267.0,False
2014,305,Upper East Side,52.9,65.0,False
2014,304,Upper West Side,162.5,206.0,False
2014,301,Washington Heights,363.9,571.0,False
2014,402,West Queens,154.2,547.0,False
2014,211,Williamsburg - Bushwick,485.4,844.0,False
2014,503,Willowbrook,80.7,38.0,False
2015,404,Bayside - Little Neck,59.9,28.0,False
2015,203,Bedford Stuyvesant - Crown Heights,509.0,1184.0,False
2015,209,Bensonhurst - Bay Ridge,61.0,84.0,False
2015,206,Borough Park,70.2,246.0,False
2015,208,Canarsie - Flatlands,271.5,337.0,False
2015,302,Central Harlem - Morningside Heights,643.5,687.0,False
2015,306,Chelsea - Clinton,98.5,51.0,False
2015,210,Coney Island - Sheepshead Bay,114.2,203.0,False
2015,105,Crotona - Tremont,737.6,1374.0,False
